id	conversation_id	created_at	date	time	timezone	user_id	username	name	place	tweet	language	mentions	urls	photos	replies_count	retweets_count	likes_count	hashtags	cashtags	link	retweet	quote_url	video	thumbnail	near	geo	source	user_rt_id	user_rt	retweet_id	reply_to	retweet_date	translate	trans_src	trans_dest
1355344920991596555	1355341957271318532	2021-01-30 09:39:44 WIB	2021-01-30	09:39:44	+0700	1035742538802458624	solikin_cak	Cak Solikin		@CNNIndonesia Wes miring dadi rausa di bahas maneh !  #UninstallWhatsapp  #InstallTelegram  https://t.co/LfZ2YBhT4U	in	[]	[]	['https://pbs.twimg.com/media/Es8nBawUwAAvSld.jpg']	0	0	0	['uninstallwhatsapp', 'installtelegram']	[]	https://twitter.com/solikin_cak/status/1355344920991596555	False		1	https://pbs.twimg.com/media/Es8nBawUwAAvSld.jpg							[{'screen_name': 'CNNIndonesia', 'name': 'CNN Indonesia', 'id': '17128975'}]				
1355331143248211977	1355331143248211977	2021-01-30 08:45:00 WIB	2021-01-30	08:45:00	+0700	1326565931909148672	indahranca	Pesona Ranca Indah		Lokasi :  https://t.co/FS9U9gjOJl…info lebih lanjut hubungi :  https://t.co/y23f4MwkJ7…  #pesonarancaindah #kprrumah #jualrumah #senin #carirumah #minggu #sange  #whatsapp #PropertyInvestment #Rumah #rumahmurah #Jumat #sangeberat #uninstallwhatsapp  https://t.co/sGoKb0LPi0	in	[]	['https://g.page/PerumahanPesonaRancaIndah?share', 'https://wa.me/message/DLQOA7CJV3NOC1']	['https://pbs.twimg.com/media/Es8adfCUUAEevJR.jpg']	0	1	0	['pesonarancaindah', 'kprrumah', 'jualrumah', 'senin', 'carirumah', 'minggu', 'sange', 'whatsapp', 'propertyinvestment', 'rumah', 'rumahmurah', 'jumat', 'sangeberat', 'uninstallwhatsapp']	[]	https://twitter.com/IndahRanca/status/1355331143248211977	False		1	https://pbs.twimg.com/media/Es8adfCUUAEevJR.jpg							[]				
1355114363867205636	1355114363867205636	2021-01-29 18:23:35 WIB	2021-01-29	18:23:35	+0700	308961855	katakpembina	פאַדעל		Harus semangat #UninstallWhatsapp	in	[]	[]	[]	0	0	0	['uninstallwhatsapp']	[]	https://twitter.com/katakpembina/status/1355114363867205636	False	https://twitter.com/kumparan/status/1355106304004481027	0								[]				
1355038641853140994	1355038641853140994	2021-01-29 13:22:42 WIB	2021-01-29	13:22:42	+0700	1177070861674639362	kohazaq	Hazriel Fikri		Idc #uninstallwhatsapp #WhatsApp #WhatsappPrivacy	und	[]	[]	[]	0	0	0	['uninstallwhatsapp', 'whatsapp', 'whatsappprivacy']	[]	https://twitter.com/Kohazaq/status/1355038641853140994	False		0								[]				
1354959964364697601	1354959964364697601	2021-01-29 08:10:04 WIB	2021-01-29	08:10:04	+0700	1212032793099718658	alfathrhgk	Demi Kemakmuran Bangsa		"#sambatankoplo #eiger  Orang2:  *pada ribut #uninstallwhatsapp takut privasinya bablas  Gwa yg langsung mencet ""setuju"" ga baca pemberitahuan: Oke siupp👍  https://t.co/WegqexBCuZ"	in	[]	[]	['https://pbs.twimg.com/media/Es3I5_oUUBcMYUB.jpg']	0	0	0	['sambatankoplo', 'eiger', 'uninstallwhatsapp']	[]	https://twitter.com/AlfathRhgk/status/1354959964364697601	False		1	https://pbs.twimg.com/media/Es3I5_oUUBcMYUB.jpg							[]				
1354945923441278983	1354945923441278983	2021-01-29 07:14:16 WIB	2021-01-29	07:14:16	+0700	1238733408110391296	tesar_tc	Tesar		#uninstallwhatsapp  anjir mkin parah yak  https://t.co/LPF1ZrkJUO	in	[]	[]	['https://pbs.twimg.com/media/Es28IWOXEAMiyo8.jpg']	0	0	1	['uninstallwhatsapp']	[]	https://twitter.com/Tesar_tc/status/1354945923441278983	False		1	https://pbs.twimg.com/media/Es28IWOXEAMiyo8.jpg							[]				
1354935506006536215	1354935506006536215	2021-01-29 06:32:52 WIB	2021-01-29	06:32:52	+0700	3886732753	missqwueen	🦋		It's too late to clarify about the privacy 😅 #uninstallwhatsapp  https://t.co/WlPXz8VzNv	en	[]	[]	['https://pbs.twimg.com/media/Es2yqENUYAkNra-.jpg']	0	0	0	['uninstallwhatsapp']	[]	https://twitter.com/missqwueen/status/1354935506006536215	False		1	https://pbs.twimg.com/media/Es2yqENUYAkNra-.jpg							[]				
1354900934313168898	1354900934313168898	2021-01-29 04:15:30 WIB	2021-01-29	04:15:30	+0700	1066402078199734272	iianb_	Ian		What the fuck is that? #WhatsApp #WhatsappStatus #WhatsAppPrivacyPolicy #uninstallwhatsapp  https://t.co/XaVutLnf5h	en	[]	[]	['https://pbs.twimg.com/media/Es2TN9DUUAExIIo.jpg']	0	0	0	['whatsapp', 'whatsappstatus', 'whatsappprivacypolicy', 'uninstallwhatsapp']	[]	https://twitter.com/iianB_/status/1354900934313168898	False		1	https://pbs.twimg.com/media/Es2TN9DUUAExIIo.jpg							[]				
1354746396981620736	1354746396981620736	2021-01-28 18:01:25 WIB	2021-01-28	18:01:25	+0700	1325857303505956864	loincmedia	Loper Media		Chat di Whatsapp dan iMessage? Gunakan Aplikasi Ini - #WhatsApp #uninstallwhatsapp  https://t.co/tEuRAdW8pI	in	[]	['https://loperonline.com/tech/chat-di-whatsapp-dan-imessage-gunakan-aplikasi-ini/62869/']	[]	0	0	1	['whatsapp', 'uninstallwhatsapp']	[]	https://twitter.com/LOincMedia/status/1354746396981620736	False		0								[]				
1354708876675833856	1354708876675833856	2021-01-28 15:32:20 WIB	2021-01-28	15:32:20	+0700	1331130314815520769	mrsaddam7862	mr.saddam_786		#HANBIN_BELIFT #silhouettechallenge #PelosiLovesTrump #silhouettechallenge  #uninstallwhatsapp #القصيرات_ولا_الطويلات #silhouettechallenge  https://t.co/oNFiLUUGbw	und	[]	[]	['https://pbs.twimg.com/media/Eszkh3YW8AAZu-L.jpg']	0	0	1	['hanbin_belift', 'silhouettechallenge', 'pelosilovestrump', 'silhouettechallenge', 'uninstallwhatsapp', 'القصيرات_ولا_الطويلات', 'silhouettechallenge']	[]	https://twitter.com/mrsaddam7862/status/1354708876675833856	False		1	https://pbs.twimg.com/media/Eszkh3YW8AAZu-L.jpg							[]				
